timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-08-23T03:45:03.229Z,56405d0d430686c1bf9e8345b7f6d2d3,152.163.145.66,US,New York,New York,"New York, New York, US",Direct,/,Chrome,macOS,desktop,Mac,en-US@posix,UTC,1280x720,1280x720,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",
2026-08-23T05:30:03.834Z,ea1801d6327d7ca907e03dccc6a1ccf4,108.147.101.16,US,Illinois,Chicago,"Chicago, Illinois, US",direct,/track-order.html,Safari,iOS,mobile,iPhone,en-US,America/Chicago,320x693,300x554,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",Left page after 7s (tab/window hidden) | Clicked button: Check status after 72s
2026-08-23T10:39:18.046Z,2908aec0f6cb28be2a6f55bdd2e1d3db,107.196.195.129,US,Georgia,Dallas,"Dallas, Georgia, US",Google,/,Safari,iOS,mobile,iPhone,en-US,America/New_York,430x932,814x313,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",Left page after 2s (tab/window hidden)
