timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-04-20T00:02:49.875Z,4c78ee02ae5a0cb2da532c40446b9c06,47.162.145.38,US,Texas,Wylie,"Wylie, Texas, US",sellcell.com:referral,/sell/?device=samsung-galaxy-s24-plus&storage=512GB&carrier=unlocked&quality=flawless&utm_source=sellcell.com&utm_medium=referral,Chrome,Android,mobile,Android Device,en-US,America/Chicago,412x883,411x749,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Page params: device=galaxy-s24-plus&storage=512GB&carrier=unlocked&quality=flawless&utm_source=sellcell.com&utm_medium=referral
2026-04-20T00:11:42.210Z,ebf4ce9b76ebfc741bb1a305ac540331,172.59.203.194,US,Texas,Garland,"Garland, Texas, US",SellCell,/sell/?device=iphone-15-pro-max&storage=256GB&carrier=att&quality=good&utm_source=sellcell.com&utm_medium=referral,Safari,iOS,mobile,iPhone,en-US,America/Phoenix,393x852,393x695,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Page params: device=iphone-15-pro-max&storage=256GB&carrier=att&quality=good&utm_source=sellcell.com&utm_medium=referral | Left page after 35s (tab/window close)
2026-04-20T00:22:15.383Z,55be4655a34a117c23f7d60c3356580b,146.75.164.177,US,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma, US",SellCell,/sell/?device=iphone-13-pro-max&storage=128GB&carrier=verizon&quality=broken&utm_source=sellcell.com&utm_medium=referral,Safari,iOS,mobile,iPhone,en-US,America/Chicago,393x852,393x735,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Page params: device=iphone-13-pro-max&storage=128GB&carrier=verizon&quality=fair&utm_source=sellcell.com&utm_medium=referral | Left page after 40s (tab/window hidden)
2026-04-20T00:22:32.051Z,8f985012931352033587a9add410c866,73.197.142.129,US,New Jersey,Hammonton,"Hammonton, New Jersey, US",Internal,/sell/?device=galaxy-z-fold-6&storage=512GB&carrier=unlocked&quality=broken,Chrome,Android,mobile,Android Device,en-US,America/New_York,444x970,443x800,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Page params: device=galaxy-z-fold-6&storage=512GB&carrier=unlocked&quality=broken | Left page after 0s (tab/window hidden)
2026-04-20T00:31:30.315Z,696bdfe0941705ff2e44e2879ea25e28,174.234.4.78,US,Colorado,,"Colorado, US",Direct,/track-order.html?orderId=SHC-22603&fromEmailLink=1&email=manto.lee%40gmail.com,Safari,iOS,mobile,iPhone,en-US,America/Denver,390x844,390x645,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",Page params: orderId=SHC-22603&fromEmailLink=1&email=manto.lee%40gmail.com | Left page after 56s (tab/window hidden)
2026-04-20T00:33:17.691Z,b138a0fdab6b3a76956dce6bf5d3407f,185.172.52.178,US,Missouri,St Louis,"St Louis, Missouri, US",SellCell,/sell/?carrier=unlocked&device=samsung-galaxy-z-flip-5&quality=broken&storage=512GB,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1536x864,1536x695,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Page params: carrier=unlocked&device=galaxy-z-flip-5&quality=broken&storage=512GB | Left page after 679s (tab/window hidden)
2026-04-20T00:44:55.054Z,e6ae827306f3b3a93bb66644d09ce1a6:2,32.211.204.37,US,Connecticut,Norwalk,"Norwalk, Connecticut, US",sellcell.com:referral,/sell/?device=samsung-galaxy-s24-ultra&storage=512GB&carrier=unlocked&quality=flawless&utm_source=sellcell.com&utm_medium=referral,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1868x922,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/30.0 Chrome/143.0.0.0 Safari/537.36",
2026-04-20T00:47:03.063Z,b304fbddf479770ba52e777118b8f5fe,174.212.205.222,US,Tennessee,Memphis,"Memphis, Tennessee, US",sellcell.com:referral,/sell/?device=iphone-14-pro-max&storage=512GB&carrier=verizon&quality=broken&utm_source=sellcell.com&utm_medium=referral,Chrome,Android,mobile,Android Device,en-US,America/Chicago,412x892,411x759,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",Page params: device=iphone-14-pro-max&storage=256GB&carrier=verizon&quality=broken&utm_source=sellcell.com&utm_medium=referral | Page params: device=iphone-14-pro-max&storage=512GB&carrier=verizon&quality=broken&utm_source=sellcell.com&utm_medium=referral
2026-04-20T00:50:20.812Z,200875e41fb79154d11b29137381036e,50.158.246.98,US,Nevada,Las Vegas,"Las Vegas, Nevada, US",SellCell,/sell/?device=iphone-14-pro-max&storage=128GB&carrier=tmobile&quality=good&utm_source=sellcell.com&utm_medium=referral,Chrome,Android,mobile,Android Device,en-US,America/Los_Angeles,360x780,327x638,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Page params: device=iphone-14-pro-max&storage=128GB&carrier=tmobile&quality=good&utm_source=sellcell.com&utm_medium=referral | Left page after 18s (tab/window close)
2026-04-20T00:50:52.635Z,13ef4b9bdef7254a2bc5a83f1ce56d7c,47.200.248.5,US,Florida,Brandon,"Brandon, Florida, US",sellcell.com:referral,/sell/?device=samsung-galaxy-s23-ultra&storage=256gb&carrier=tmobile&quality=good&utm_source=sellcell.com&utm_medium=referral,Chrome,Android,mobile,Android Device,en-US,America/New_York,412x892,411x747,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Page params: device=galaxy-s23-ultra&storage=256gb&carrier=tmobile&quality=good&utm_source=sellcell.com&utm_medium=referral | Left page after 4s (tab/window close)
