timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-08-09T02:59:35.325Z,a00750b1833e8c37b86cafb02d0cc720,24.189.22.182,US,New York,Brooklyn,"Brooklyn, New York, US",Direct,/,Safari,iOS,mobile,iPhone,en-US,America/New_York,320x693,320x502,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",
2026-08-09T04:53:20.895Z,6094b89c4ae44b6628561c74730f0d1c,172.171.120.149,US,Washington,,"Washington, US",direct,/,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-08-09T07:17:02.936Z,74376fc9affdd5ed435b2302f2fc2b5a,116.96.44.235,VN,Hanoi,Hanoi,"Hanoi, Hanoi, VN",direct,/,Chrome,macOS,desktop,Mac,zh-SG,Asia/Singapore,1366x768,1366x768,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",
