timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-09-14T00:05:33.639Z,241bcc4d857edd3ee35e51b9b44cb09d,74.108.144.161,US,New York,White Plains,"White Plains, New York, US",referral_secondhandcell.com,/sell/?device=iphone-16-pro-max&storage=256GB&carrier=att&quality=good,Chrome,macOS,desktop,Mac,en-US,America/New_York,1408x881,1408x729,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",Left page after 12s (tab/window close) | Page params: device=iphone-iphone-16-pro-max | Clicked div: 256GB after 2s | Clicked div: AT&T after 3s | Clicked div: Good after 7s | Clicked div: Flawless after 10s | Clicked div: Good after 12s | Left page after 27s (tab/window hidden)
2026-09-14T17:24:46.563Z,11121d6f66031c8a0590ffa468a567ba,65.55.210.60,US,Washington,,"Washington, US",direct,/,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-14T22:24:41.677Z,2d36fba739bf878271a0a62d02c728bf,47.194.18.54,US,Florida,Tampa,"Tampa, Florida, US",Direct,/my-account.html,,macOS,desktop,Mac,en-US,America/New_York,2560x1080,1920x1080,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",
2026-09-14T22:38:53.141Z,157ef0a88ba0ac65f3713c3321b33ba4,121.229.156.95,CN,Guangdong,Nanjing,"Nanjing, Guangdong, CN",Direct,/index.html,,,desktop,Desktop,en-US,Asia/Shanghai,1800x1125,1800x1125,Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07),
