timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-09-26T05:14:46.408Z,93ecea62d18a6097ae5e31c13f82e264,199.30.25.160,US,Washington,,"Washington, US",direct,/sell/?device=iphone-14-pro,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",
2026-09-26T05:32:05.782Z,296af3e1a7ff90b727ab909a465de200,40.77.178.154,US,Washington,,"Washington, US",direct,/sell/?device=iphone-14-pro,Chrome,Windows,desktop,Windows PC,en-US,America/Los_Angeles,800x600,1024x569,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/146.0.7680.165 Safari/537.36",Page params: device=iphone-14-pro | Left page after 10s (tab/window close)
2026-09-26T06:00:35.994Z,54ccb69330e71f7f29599da3395d61d6,205.169.39.20,US,,,US,Direct,/,Chrome,Linux,desktop,Desktop,en-US,UTC,800x600,1585x1200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36",Left page after 2s (tab/window hidden)
2026-09-26T13:34:50.372Z,604b8d74cfac95e9e68ff9aa8a09a3fa,149.57.191.89,US,New York,New York,"New York, New York, US",Direct,/privacy.html,Chrome,Linux,desktop,Desktop,en-US,America/Los_Angeles,1920x1080,1920x945,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",
2026-09-26T13:55:20.944Z,4d8bd9d95d5172fb3e0bf60c4e56714d,39.35.251.1,PK,Punjab,Gujranwala,"Gujranwala, Punjab, PK",direct,/,Chrome,Windows,desktop,Windows PC,en-GB,Asia/Karachi,1366x768,1366x607,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",
2026-09-26T16:56:08.114Z,fc9ef6f0918aba83d5b24b842f4a8bd0,173.194.92.190,US,,,US,Internal,/sell/,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1366x768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",Clicked a: Get My Instant Quote after 5s
2026-09-26T16:56:17.343Z,d1727924c666351ae40a73848a9f8908,172.253.15.236,US,South Carolina,Charleston,"Charleston, South Carolina, US",Internal,/sell/,Chrome,Windows,desktop,Windows PC,en-US,America/Chicago,1920x1080,1366x768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",Clicked a: Get My Instant Quote after 5s | Left page after 6s (internal navigation)
2026-09-26T16:56:31.215Z,18819c1225cc53488885a4fa7cec4641,24.208.211.36,US,Ohio,Marysville,"Marysville, Ohio, US",Direct,/,Chrome,Android,mobile,Android Device,en-US,America/New_York,360x780,360x641,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Mobile Safari/537.36",Left page after 3s (tab/window close) | Clicked a: About Us after 7s | Clicked button: Close About Us after 9s | Left page after 13s (tab/window hidden) | Left page after 3s (tab/window hidden) | Left page after 1s (tab/window hidden) | Left page after 19s (tab/window hidden)
